GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Risk Assessment Backend,com.riskassessment,RiskAssessmentApplication,5,3,0,0,2,1,1,1,1,1
Risk Assessment Backend,com.riskassessment.entity,Risk.RiskType,0,49,0,0,0,10,0,3,0,3
Risk Assessment Backend,com.riskassessment.entity,Risk.RiskStatus,3,32,0,0,1,7,1,2,1,2
Risk Assessment Backend,com.riskassessment.entity,Risk,0,73,0,0,0,23,0,16,0,16
Risk Assessment Backend,com.riskassessment.entity,Risk.RiskProbability,3,32,0,0,1,7,1,2,1,2
Risk Assessment Backend,com.riskassessment.controller,RiskController,0,64,0,0,0,17,0,10,0,10
Risk Assessment Backend,com.riskassessment.config,CorsConfig,0,65,0,0,0,9,0,2,0,2
Risk Assessment Backend,com.riskassessment.service,RiskService,0,129,0,2,0,27,0,12,0,11
